iter	Passed	Remaining
455	839	1001
456	841	999
457	843	997
458	844	995
459	846	993
460	847	991
461	849	989
462	850	986
463	852	984
464	853	981
465	855	979
466	857	978
467	858	976
468	860	974
469	861	971
470	863	969
471	864	967
472	866	965
473	867	962
474	869	960
475	870	958
476	872	956
477	874	955
478	876	953
479	877	950
480	879	948
481	880	946
482	882	944
483	883	942
484	885	939
485	886	938
486	889	936
487	891	934
488	892	932
489	894	930
490	895	928
491	897	926
492	898	924
493	899	921
494	901	919
495	903	917
496	905	916
497	907	914
498	909	912
499	910	910
500	912	908
501	913	906
502	915	904
503	916	901
504	918	899
505	920	898
506	922	897
507	924	894
508	925	892
509	926	890
510	928	888
511	929	886
512	931	884
513	932	881
514	937	883
515	939	880
516	940	878
517	942	876
518	943	874
519	944	872
520	946	870
521	947	867
522	949	865
523	952	864
524	953	862
525	955	860
526	956	858
527	958	856
528	959	854
529	961	852
530	962	850
531	963	847
532	965	846
533	968	845
534	970	843
535	971	841
536	973	838
537	974	836
538	975	834
539	977	832
540	978	830
541	979	828
542	981	826
543	983	824
544	985	823
545	987	821
546	989	819
547	990	816
548	991	814
549	993	812
550	994	810
551	996	808
552	999	807
553	1001	805
554	1002	803
555	1003	801
556	1005	799
557	1006	797
558	1008	795
559	1009	793
560	1011	791
561	1013	789
562	1015	788
563	1017	786
564	1019	784
565	1020	782
566	1022	780
567	1023	778
568	1024	776
569	1026	774
570	1027	772
571	1029	770
572	1031	768
573	1055	783
574	1056	780
575	1057	778
576	1059	776
577	1061	775
578	1063	773
579	1065	771
580	1067	769
581	1068	767
582	1070	765
583	1071	763
584	1072	761
585	1074	759
586	1075	757
587	1077	755
588	1079	753
589	1081	751
590	1083	749
591	1085	748
592	1087	746
593	1088	744
594	1090	741
595	1092	740
596	1094	738
597	1095	736
598	1097	734
599	1099	732
600	1100	730
601	1102	728
602	1103	726
603	1105	724
604	1106	722
605	1109	721
606	1112	720
607	1114	718
608	1115	716
609	1116	714
610	1118	712
611	1119	709
612	1121	707
613	1122	705
614	1124	704
615	1126	702
616	1128	700
617	1130	698
618	1132	697
619	1133	695
620	1135	692
621	1136	690
622	1138	688
623	1140	687
624	1144	686
625	1146	684
626	1147	682
627	1149	680
628	1151	678
629	1152	677
630	1154	675
631	1156	673
632	1159	672
633	1161	670
634	1163	668
635	1173	671
636	1175	669
637	1177	667
638	1178	665
639	1180	664
640	1182	662
641	1183	659
642	1184	657
643	1187	656
644	1189	654
645	1191	653
646	1193	651
647	1195	649
648	1197	647
649	1198	645
650	1200	643
651	1201	641
652	1204	640
653	1206	638
654	1208	636
655	1209	634
656	1211	632
657	1212	630
658	1213	628
659	1215	626
660	1216	624
661	1218	622
662	1220	620
663	1222	618
664	1223	616
665	1225	614
666	1226	612
667	1228	610
668	1229	608
669	1230	606
670	1232	604
671	1234	602
672	1236	600
673	1238	599
674	1240	597
675	1241	595
676	1243	593
677	1244	591
678	1246	589
679	1247	587
680	1249	585
681	1252	583
682	1253	581
683	1255	579
684	1256	577
685	1257	575
686	1259	573
687	1260	571
688	1262	569
689	1263	567
690	1265	566
691	1267	564
692	1270	562
693	1272	561
694	1274	559
695	1275	557
696	1277	555
697	1278	553
698	1280	551
699	1282	549
700	1284	548
701	1286	546
702	1288	544
703	1290	542
704	1292	540
705	1293	538
706	1295	536
707	1297	535
708	1299	533
709	1301	531
710	1303	529
711	1304	527
712	1305	525
713	1307	523
714	1308	521
715	1310	519
716	1312	517
717	1314	516
718	1315	514
719	1317	512
720	1319	510
721	1320	508
722	1322	506
723	1323	504
724	1324	502
725	1326	500
726	1328	498
727	1330	497
728	1332	495
729	1333	493
730	1335	491
731	1336	489
732	1338	487
733	1339	485
734	1340	483
735	1342	481
736	1345	479
737	1346	478
738	1348	476
739	1349	474
740	1350	472
741	1352	470
742	1353	468
743	1355	466
744	1356	464
745	1358	462
746	1360	460
747	1362	459
748	1364	457
749	1365	455
750	1367	453
751	1368	451
752	1370	449
753	1371	447
754	1373	445
755	1376	444
756	1378	442
757	1379	440
758	1381	438
759	1382	436
760	1384	434
761	1386	432
762	1387	431
763	1389	429
764	1391	427
765	1393	425
766	1395	423
767	1397	422
768	1398	420
769	1400	418
770	1402	416
771	1403	414
772	1405	412
773	1407	411
774	1409	409
775	1410	407
776	1412	405
777	1414	403
778	1415	401
779	1417	399
780	1418	397
781	1420	396
782	1423	394
783	1424	392
784	1426	390
785	1428	388
786	1429	386
787	1431	385
788	1432	383
789	1434	381
790	1435	379
791	1437	377
792	1439	375
793	1441	374
794	1443	372
795	1444	370
796	1446	368
797	1448	366
798	1449	364
799	1451	362
800	1453	361
801	1455	359
802	1457	357
803	1458	355
804	1460	353
805	1461	351
806	1463	349
807	1464	347
808	1465	346
809	1467	344
810	1470	342
811	1472	340
812	1474	339
813	1476	337
814	1477	335
815	1479	333
816	1480	331
817	1482	329
818	1484	328
819	1487	326
820	1488	324
821	1490	322
822	1492	320
823	1493	319
824	1495	317
825	1496	315
826	1497	313
827	1499	311
828	1501	309
829	1504	308
830	1507	306
831	1508	304
832	1510	302
833	1512	300
834	1513	299
835	1515	297
836	1518	295
837	1519	293
838	1521	291
839	1522	290
840	1524	288
841	1526	286
842	1527	284
843	1528	282
844	1530	280
845	1532	279
846	1534	277
847	1536	275
848	1537	273
849	1539	271
850	1541	269
851	1542	267
852	1544	266
853	1546	264
854	1548	262
855	1550	260
856	1551	258
857	1553	257
858	1554	255
859	1556	253
860	1557	251
861	1558	249
862	1560	247
863	1561	245
864	1564	244
865	1566	242
866	1568	240
867	1570	238
868	1571	236
869	1573	235
870	1574	233
871	1576	231
872	1578	229
873	1580	227
874	1582	226
875	1584	224
876	1585	222
877	1587	220
878	1588	218
879	1590	216
880	1592	215
881	1593	213
882	1595	211
883	1598	209
884	1600	207
885	1602	206
886	1603	204
887	1605	202
888	1607	200
889	1609	198
890	1611	197
891	1613	195
892	1614	193
893	1616	191
894	1617	189
895	1619	187
896	1621	186
897	1622	184
898	1624	182
899	1627	180
900	1629	179
901	1630	177
902	1632	175
903	1633	173
904	1634	171
905	1636	169
906	1638	167
907	1640	166
908	1642	164
909	1644	162
910	1646	160
911	1648	159
912	1649	157
913	1651	155
914	1653	153
915	1654	151
916	1656	149
917	1658	148
918	1660	146
919	1661	144
920	1663	142
921	1665	140
922	1666	139
923	1668	137
924	1670	135
925	1672	133
926	1674	131
927	1676	130
928	1678	128
929	1680	126
930	1682	124
931	1684	122
932	1686	121
933	1688	119
934	1691	117
935	1693	115
936	1694	113
937	1696	112
938	1698	110
939	1699	108
940	1701	106
941	1703	104
942	1706	103
943	1709	101
944	1711	99
945	1712	97
946	1714	95
947	1716	94
948	1718	92
949	1721	90
950	1724	88
951	1726	87
952	1727	85
953	1729	83
954	1731	81
955	1732	79
956	1735	77
957	1738	76
958	1741	74
959	1743	72
960	1744	70
961	1746	68
962	1748	67
963	1750	65
964	1753	63
965	1755	61
966	1757	59
967	1759	58
968	1760	56
969	1762	54
970	1764	52
971	1766	50
972	1769	49
